SensorID,Date,Time,Closed?,Signal Strength
829993,11/19/2022,8:07 AM,0,70
829993,11/19/2022,8:04 AM,1,82
829993,11/19/2022,8:04 AM,0,73
829993,11/19/2022,7:33 AM,1,81
829993,11/19/2022,7:02 AM,0,73
829993,11/19/2022,6:31 AM,1,81
829993,11/19/2022,5:31 AM,1,81
829993,11/19/2022,4:31 AM,1,82
829993,11/19/2022,3:31 AM,1,81
829993,11/19/2022,3:31 AM,1,81
829993,11/19/2022,2:31 AM,1,82
829993,11/19/2022,1:31 AM,1,81
829993,11/19/2022,12:31 AM,1,81
829993,11/18/2022,11:31 PM,1,81
829993,11/18/2022,10:31 PM,1,81
829993,11/18/2022,10:31 PM,0,76
829993,11/18/2022,10:31 PM,1,82
829993,11/18/2022,10:31 PM,0,76
829993,11/18/2022,10:13 PM,1,81
829993,11/18/2022,9:13 PM,1,77
829993,11/18/2022,8:13 PM,1,79
829993,11/18/2022,8:13 PM,0,76
829993,11/18/2022,7:47 PM,1,80
829993,11/18/2022,7:47 PM,0,74
829993,11/18/2022,7:47 PM,1,78
829993,11/18/2022,7:47 PM,0,79
829993,11/18/2022,7:46 PM,1,80
829993,11/18/2022,7:46 PM,0,72
829993,11/18/2022,7:45 PM,1,81
829993,11/18/2022,7:45 PM,0,72
829993,11/18/2022,7:37 PM,1,78
829993,11/18/2022,7:36 PM,0,75
829993,11/18/2022,7:33 PM,1,80
829993,11/18/2022,7:33 PM,0,79
829993,11/18/2022,7:17 PM,1,80
829993,11/18/2022,7:10 PM,0,76
829993,11/18/2022,7:08 PM,1,75
829993,11/18/2022,7:08 PM,0,76
829993,11/18/2022,7:01 PM,1,80
829993,11/18/2022,7:01 PM,0,81
829993,11/18/2022,6:50 PM,1,81
829993,11/18/2022,6:50 PM,0,65
829993,11/18/2022,6:50 PM,1,80
829993,11/18/2022,6:50 PM,0,64
829993,11/18/2022,6:50 PM,1,79
829993,11/18/2022,6:50 PM,0,69
829993,11/18/2022,6:49 PM,1,80
829993,11/18/2022,6:49 PM,0,77
829993,11/18/2022,6:48 PM,1,80
829993,11/18/2022,6:48 PM,0,72
829993,11/18/2022,6:47 PM,1,80
829993,11/18/2022,6:47 PM,0,78
829993,11/18/2022,6:47 PM,1,79
829993,11/18/2022,6:46 PM,0,63
829993,11/18/2022,6:46 PM,1,80
829993,11/18/2022,6:46 PM,0,77
829993,11/18/2022,6:46 PM,1,78
829993,11/18/2022,6:46 PM,0,73
829993,11/18/2022,6:46 PM,1,81
829993,11/18/2022,6:45 PM,0,80
829993,11/18/2022,6:43 PM,1,80
829993,11/18/2022,6:43 PM,0,50
829993,11/18/2022,6:43 PM,1,78
829993,11/18/2022,6:43 PM,0,66
829993,11/18/2022,6:39 PM,1,80
829993,11/18/2022,6:38 PM,0,67
829993,11/18/2022,6:37 PM,1,78
829993,11/18/2022,6:37 PM,0,71
829993,11/18/2022,6:37 PM,1,77
829993,11/18/2022,6:36 PM,0,75
829993,11/18/2022,6:36 PM,1,80
829993,11/18/2022,6:35 PM,0,72
829993,11/18/2022,6:34 PM,1,81
829993,11/18/2022,6:34 PM,0,63
829993,11/18/2022,6:31 PM,1,75
829993,11/18/2022,6:31 PM,0,72
829993,11/18/2022,6:31 PM,1,77
829993,11/18/2022,6:30 PM,0,63
829993,11/18/2022,6:29 PM,1,80
829993,11/18/2022,6:29 PM,0,48
829993,11/18/2022,6:26 PM,1,76
829993,11/18/2022,6:26 PM,0,77
829993,11/18/2022,6:26 PM,1,80
829993,11/18/2022,6:26 PM,0,66
