SensorID,Date,Time,Signal Strength
687114,11/19/2022,8:06 AM,80
687114,11/19/2022,8:06 AM,84
687114,11/19/2022,7:39 AM,82
687114,11/19/2022,7:39 AM,85
687114,11/19/2022,7:34 AM,84
687114,11/19/2022,7:34 AM,81
687114,11/19/2022,7:06 AM,80
687114,11/19/2022,7:06 AM,86
687114,11/19/2022,7:04 AM,77
687114,11/19/2022,7:03 AM,78
687114,11/19/2022,6:47 AM,81
687114,11/19/2022,5:47 AM,82
687114,11/19/2022,4:47 AM,82
687114,11/19/2022,3:47 AM,82
687114,11/19/2022,3:47 AM,82
687114,11/19/2022,2:47 AM,82
687114,11/19/2022,1:47 AM,84
687114,11/19/2022,12:47 AM,83
687114,11/18/2022,11:47 PM,82
687114,11/18/2022,10:47 PM,82
687114,11/18/2022,9:47 PM,83
687114,11/18/2022,8:47 PM,80
687114,11/18/2022,7:47 PM,81
687114,11/18/2022,7:47 PM,78
687114,11/18/2022,7:45 PM,82
687114,11/18/2022,7:45 PM,73
687114,11/18/2022,7:40 PM,82
687114,11/18/2022,7:40 PM,84
687114,11/18/2022,7:38 PM,85
687114,11/18/2022,7:38 PM,82
687114,11/18/2022,7:34 PM,80
687114,11/18/2022,7:34 PM,69
687114,11/18/2022,7:18 PM,82
687114,11/18/2022,7:18 PM,86
687114,11/18/2022,7:09 PM,80
687114,11/18/2022,7:09 PM,87
687114,11/18/2022,7:02 PM,68
687114,11/18/2022,7:01 PM,83
687114,11/18/2022,6:51 PM,85
687114,11/18/2022,6:51 PM,88
687114,11/18/2022,6:51 PM,84
687114,11/18/2022,6:50 PM,88
687114,11/18/2022,6:50 PM,79
687114,11/18/2022,6:49 PM,79
687114,11/18/2022,6:49 PM,83
687114,11/18/2022,6:49 PM,82
687114,11/18/2022,6:48 PM,82
687114,11/18/2022,6:48 PM,86
687114,11/18/2022,6:47 PM,83
687114,11/18/2022,6:47 PM,90
687114,11/18/2022,6:46 PM,83
687114,11/18/2022,6:46 PM,75
687114,11/18/2022,6:45 PM,87
687114,11/18/2022,6:45 PM,82
687114,11/18/2022,6:44 PM,77
687114,11/18/2022,6:38 PM,82
687114,11/18/2022,6:38 PM,79
687114,11/18/2022,6:38 PM,89
687114,11/18/2022,6:37 PM,84
687114,11/18/2022,6:37 PM,84
687114,11/18/2022,6:34 PM,84
687114,11/18/2022,6:33 PM,81
687114,11/18/2022,6:32 PM,81
687114,11/18/2022,6:32 PM,85
687114,11/18/2022,6:30 PM,83
687114,11/18/2022,6:30 PM,84
687114,11/18/2022,6:27 PM,82
687114,11/18/2022,6:27 PM,82
687114,11/18/2022,6:26 PM,83
687114,11/18/2022,6:26 PM,78
687114,11/18/2022,6:23 PM,80
687114,11/18/2022,6:23 PM,82
687114,11/18/2022,6:14 PM,80
687114,11/18/2022,6:14 PM,85
687114,11/18/2022,6:13 PM,82
687114,11/18/2022,6:13 PM,74
687114,11/18/2022,5:47 PM,83
687114,11/18/2022,5:47 PM,84
687114,11/18/2022,5:27 PM,83
687114,11/18/2022,4:27 PM,77
687114,11/18/2022,4:26 PM,81
687114,11/18/2022,4:12 PM,82
687114,11/18/2022,4:12 PM,83
687114,11/18/2022,4:10 PM,82
687114,11/18/2022,4:10 PM,83
687114,11/18/2022,4:07 PM,79
687114,11/18/2022,4:07 PM,85
687114,11/18/2022,4:06 PM,76
687114,11/18/2022,4:06 PM,82
687114,11/18/2022,4:04 PM,82
687114,11/18/2022,4:04 PM,83
687114,11/18/2022,4:02 PM,82
687114,11/18/2022,4:02 PM,82
687114,11/18/2022,3:04 PM,80
687114,11/18/2022,3:04 PM,74
687114,11/18/2022,2:19 PM,81
687114,11/18/2022,2:19 PM,78
687114,11/18/2022,2:08 PM,86
687114,11/18/2022,2:08 PM,83
687114,11/18/2022,2:07 PM,83
687114,11/18/2022,2:07 PM,79
687114,11/18/2022,1:55 PM,84
687114,11/18/2022,1:55 PM,84
687114,11/18/2022,1:40 PM,84
687114,11/18/2022,1:40 PM,79
687114,11/18/2022,1:04 PM,81
687114,11/18/2022,1:04 PM,70
687114,11/18/2022,1:03 PM,82
687114,11/18/2022,1:03 PM,83
687114,11/18/2022,1:03 PM,81
687114,11/18/2022,1:03 PM,86
687114,11/18/2022,12:22 PM,81
687114,11/18/2022,12:22 PM,85
687114,11/18/2022,12:09 PM,83
687114,11/18/2022,12:09 PM,79
687114,11/18/2022,12:03 PM,78
687114,11/18/2022,12:03 PM,83
687114,11/18/2022,12:02 PM,78
687114,11/18/2022,12:01 PM,69
687114,11/18/2022,11:59 AM,77
687114,11/18/2022,11:59 AM,72
687114,11/18/2022,11:57 AM,81
687114,11/18/2022,11:57 AM,81
687114,11/18/2022,11:00 AM,75
687114,11/18/2022,11:00 AM,78
687114,11/18/2022,10:59 AM,81
687114,11/18/2022,10:59 AM,81
687114,11/18/2022,10:54 AM,84
687114,11/18/2022,10:54 AM,81
687114,11/18/2022,10:44 AM,87
687114,11/18/2022,10:44 AM,80
687114,11/18/2022,10:40 AM,84
687114,11/18/2022,10:40 AM,86
687114,11/18/2022,10:37 AM,85
687114,11/18/2022,10:37 AM,83
687114,11/18/2022,10:18 AM,84
687114,11/18/2022,10:17 AM,84
687114,11/18/2022,10:17 AM,81
687114,11/18/2022,10:16 AM,81
687114,11/18/2022,10:07 AM,80
687114,11/18/2022,10:07 AM,80
687114,11/18/2022,9:44 AM,81
687114,11/18/2022,9:44 AM,83
687114,11/18/2022,9:10 AM,85
687114,11/18/2022,9:10 AM,82
687114,11/18/2022,8:56 AM,80
687114,11/18/2022,8:56 AM,80
687114,11/18/2022,8:55 AM,79
687114,11/18/2022,8:55 AM,84
687114,11/18/2022,8:49 AM,84
687114,11/18/2022,8:49 AM,81
687114,11/18/2022,8:37 AM,84
687114,11/18/2022,8:37 AM,84
687114,11/18/2022,8:35 AM,85
687114,11/18/2022,8:35 AM,84
687114,11/18/2022,8:22 AM,85
687114,11/18/2022,8:22 AM,84
687114,11/18/2022,8:12 AM,85
687114,11/18/2022,8:12 AM,78
687114,11/18/2022,8:11 AM,84
687114,11/18/2022,7:11 AM,85
687114,11/18/2022,6:11 AM,85
687114,11/18/2022,5:11 AM,85
687114,11/18/2022,4:11 AM,85
687114,11/18/2022,4:11 AM,85
687114,11/18/2022,3:11 AM,85
687114,11/18/2022,2:11 AM,84
687114,11/18/2022,2:11 AM,84
687114,11/18/2022,1:11 AM,84
687114,11/18/2022,1:11 AM,84
687114,11/18/2022,12:11 AM,85
687114,11/18/2022,12:11 AM,85
687114,11/17/2022,11:11 PM,85
687114,11/17/2022,11:11 PM,85
687114,11/17/2022,10:11 PM,85
687114,11/17/2022,10:11 PM,85
687114,11/17/2022,9:11 PM,84
687114,11/17/2022,9:11 PM,84
687114,11/17/2022,8:11 PM,84
687114,11/17/2022,7:11 PM,84
687114,11/17/2022,6:11 PM,84
687114,11/17/2022,5:11 PM,84
687114,11/17/2022,5:11 PM,71
687114,11/17/2022,4:55 PM,83
687114,11/17/2022,4:55 PM,78
687114,11/17/2022,4:50 PM,84
687114,11/17/2022,4:49 PM,78
687114,11/17/2022,4:49 PM,78
687114,11/17/2022,4:49 PM,83
687114,11/17/2022,4:27 PM,78
687114,11/17/2022,4:27 PM,60
687114,11/17/2022,4:24 PM,83
687114,11/17/2022,4:24 PM,78
687114,11/17/2022,4:08 PM,81
687114,11/17/2022,4:08 PM,86
687114,11/17/2022,3:11 PM,86
687114,11/17/2022,3:11 PM,80
687114,11/17/2022,3:07 PM,83
687114,11/17/2022,3:06 PM,79
687114,11/17/2022,2:18 PM,82
687114,11/17/2022,2:18 PM,76
687114,11/17/2022,1:33 PM,79
687114,11/17/2022,1:33 PM,81
687114,11/17/2022,1:32 PM,80
687114,11/17/2022,1:32 PM,82
687114,11/17/2022,1:23 PM,67
687114,11/17/2022,1:23 PM,76
687114,11/17/2022,1:05 PM,81
687114,11/17/2022,1:05 PM,73
687114,11/17/2022,1:03 PM,83
687114,11/17/2022,1:03 PM,76
687114,11/17/2022,1:02 PM,81
687114,11/17/2022,1:02 PM,64
687114,11/17/2022,1:01 PM,79
687114,11/17/2022,12:59 PM,80
