SensorID,Date,Time,Value
898918,11/19/2022,8:09 AM,1
898918,11/19/2022,8:04 AM,0
898918,11/19/2022,8:03 AM,1
898918,11/19/2022,7:44 AM,0
898918,11/19/2022,7:34 AM,1
898918,11/19/2022,7:11 AM,0
898918,11/19/2022,7:03 AM,1
898918,11/19/2022,6:51 AM,0
898918,11/19/2022,6:41 AM,1
898918,11/19/2022,5:42 AM,0
898918,11/19/2022,4:42 AM,0
898918,11/19/2022,3:42 AM,0
898918,11/19/2022,3:42 AM,0
898918,11/19/2022,2:42 AM,0
898918,11/19/2022,1:42 AM,0
898918,11/19/2022,12:42 AM,0
898918,11/18/2022,11:42 PM,0
898918,11/18/2022,10:42 PM,0
898918,11/18/2022,10:32 PM,1
898918,11/18/2022,10:10 PM,0
898918,11/18/2022,10:00 PM,1
898918,11/18/2022,9:55 PM,0
898918,11/18/2022,9:45 PM,1
898918,11/18/2022,9:35 PM,1
898918,11/18/2022,9:30 PM,0
898918,11/18/2022,9:20 PM,1
898918,11/18/2022,9:17 PM,0
898918,11/18/2022,9:07 PM,1
898918,11/18/2022,8:57 PM,1
898918,11/18/2022,8:31 PM,0
898918,11/18/2022,8:21 PM,1
898918,11/18/2022,7:31 PM,0
898918,11/18/2022,7:21 PM,1
898918,11/18/2022,7:20 PM,0
898918,11/18/2022,7:10 PM,1
898918,11/18/2022,7:05 PM,0
898918,11/18/2022,6:55 PM,1
898918,11/18/2022,6:52 PM,0
898918,11/18/2022,6:42 PM,1
898918,11/18/2022,6:39 PM,0
898918,11/18/2022,6:29 PM,1
898918,11/18/2022,6:19 PM,1
898918,11/18/2022,6:19 PM,0
898918,11/18/2022,6:09 PM,1
898918,11/18/2022,6:09 PM,0
898918,11/18/2022,5:59 PM,1
898918,11/18/2022,5:58 PM,0
898918,11/18/2022,5:48 PM,1
898918,11/18/2022,5:48 PM,0
898918,11/18/2022,5:38 PM,1
898918,11/18/2022,5:28 PM,1
898918,11/18/2022,5:28 PM,0
898918,11/18/2022,5:18 PM,1
898918,11/18/2022,5:15 PM,0
898918,11/18/2022,5:05 PM,1
898918,11/18/2022,4:55 PM,1
898918,11/18/2022,4:55 PM,0
898918,11/18/2022,4:45 PM,1
898918,11/18/2022,4:44 PM,0
898918,11/18/2022,4:34 PM,1
898918,11/18/2022,4:34 PM,0
898918,11/18/2022,4:24 PM,1
898918,11/18/2022,4:24 PM,0
898918,11/18/2022,4:14 PM,1
898918,11/18/2022,4:13 PM,0
898918,11/18/2022,4:03 PM,1
898918,11/18/2022,4:03 PM,0
898918,11/18/2022,3:53 PM,1
898918,11/18/2022,3:43 PM,1
898918,11/18/2022,3:42 PM,0
898918,11/18/2022,3:32 PM,1
898918,11/18/2022,3:32 PM,0
898918,11/18/2022,3:22 PM,1
898918,11/18/2022,3:22 PM,0
898918,11/18/2022,3:12 PM,1
898918,11/18/2022,3:10 PM,0
898918,11/18/2022,3:00 PM,1
898918,11/18/2022,3:00 PM,0
898918,11/18/2022,2:50 PM,1
898918,11/18/2022,2:49 PM,0
898918,11/18/2022,2:49 PM,0
898918,11/18/2022,2:39 PM,1
898918,11/18/2022,2:29 PM,1
898918,11/18/2022,2:29 PM,0
898918,11/18/2022,2:19 PM,1
898918,11/18/2022,2:09 PM,1
898918,11/18/2022,1:59 PM,1
898918,11/18/2022,1:49 PM,1
898918,11/18/2022,1:48 PM,0
898918,11/18/2022,1:38 PM,1
898918,11/18/2022,1:38 PM,0
898918,11/18/2022,1:28 PM,1
898918,11/18/2022,1:27 PM,0
898918,11/18/2022,1:17 PM,1
898918,11/18/2022,1:16 PM,0
898918,11/18/2022,1:06 PM,1
898918,11/18/2022,12:56 PM,1
898918,11/18/2022,12:46 PM,1
898918,11/18/2022,12:46 PM,0
898918,11/18/2022,12:36 PM,1
898918,11/18/2022,12:26 PM,1
898918,11/18/2022,12:25 PM,0
898918,11/18/2022,12:15 PM,1
898918,11/18/2022,12:14 PM,0
898918,11/18/2022,12:04 PM,1
898918,11/18/2022,11:54 AM,1
898918,11/18/2022,11:44 AM,1
898918,11/18/2022,11:34 AM,1
898918,11/18/2022,11:34 AM,0
898918,11/18/2022,11:24 AM,1
898918,11/18/2022,11:22 AM,0
898918,11/18/2022,11:12 AM,1
898918,11/18/2022,11:12 AM,0
898918,11/18/2022,11:02 AM,1
898918,11/18/2022,10:52 AM,1
898918,11/18/2022,10:52 AM,0
898918,11/18/2022,10:42 AM,1
898918,11/18/2022,10:40 AM,0
898918,11/18/2022,10:30 AM,1
898918,11/18/2022,10:26 AM,0
898918,11/18/2022,10:16 AM,1
898918,11/18/2022,10:14 AM,0
898918,11/18/2022,10:04 AM,1
898918,11/18/2022,9:54 AM,1
898918,11/18/2022,9:53 AM,0
898918,11/18/2022,9:43 AM,1
898918,11/18/2022,9:43 AM,0
898918,11/18/2022,9:33 AM,1
898918,11/18/2022,9:32 AM,0
898918,11/18/2022,9:22 AM,1
898918,11/18/2022,9:22 AM,0
898918,11/18/2022,9:12 AM,1
898918,11/18/2022,9:12 AM,0
898918,11/18/2022,9:02 AM,1
898918,11/18/2022,8:52 AM,1
898918,11/18/2022,8:50 AM,0
898918,11/18/2022,8:40 AM,1
